account_id,timestamp,text,url,hashtags,reply_to,repost_of,platform
organic_021,2026-03-01T04:30:27.910610+00:00,Traffic is terrible today,,,,,synthetic
organic_019,2026-03-01T11:46:08.695427+00:00,Monday mood: need more coffee,,,,,synthetic
organic_005,2026-03-01T11:48:21.681605+00:00,Traffic is terrible today,,love,,,synthetic
organic_015,2026-03-01T12:19:48.230970+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_000,2026-03-01T13:04:40.488168+00:00,This weather is perfect for a hike,,,,,synthetic
organic_021,2026-03-01T14:08:08.674538+00:00,This weather is perfect for a hike,,,,,synthetic
organic_011,2026-03-01T14:38:02.469680+00:00,This weather is perfect for a hike,,love,,,synthetic
organic_012,2026-03-01T15:21:33.645203+00:00,Trying a new workout routine this week,,,,,synthetic
organic_020,2026-03-01T15:23:12.794307+00:00,Beautiful sunset today,,vibes,,,synthetic
organic_000,2026-03-01T16:56:58.536898+00:00,Great discussion at today's meetup,,,,,synthetic
organic_008,2026-03-01T17:11:40.771407+00:00,Beautiful sunset today,,,,,synthetic
coord_g0_03,2026-03-01T17:12:24.047585+00:00,Open borders are destroying our communities,,,,,synthetic
organic_016,2026-03-01T17:48:25.409621+00:00,Traffic is terrible today,,,,,synthetic
coord_g1_03,2026-03-01T18:06:01.454453+00:00,Crime rates skyrocketing in border states,,"immigrationtruth,resist",,,synthetic
organic_015,2026-03-01T18:19:00.046859+00:00,Trying a new workout routine this week,,,,,synthetic
organic_000,2026-03-01T18:21:22.254890+00:00,Trying a new workout routine this week,,love,,,synthetic
coord_g1_02,2026-03-01T18:25:07.849565+00:00,Another day another cover up by the elites,,"immigrationtruth,resist",,,synthetic
organic_005,2026-03-01T19:09:40.473055+00:00,Can't wait for the weekend,,,,,synthetic
coord_g0_02,2026-03-01T19:09:58.873765+00:00,Crime rates skyrocketing in border states,,,,,synthetic
organic_019,2026-03-01T19:19:32.590221+00:00,Traffic is terrible today,,,,,synthetic
organic_010,2026-03-01T19:38:22.687354+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_008,2026-03-01T19:38:29.456024+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_007,2026-03-01T19:45:25.783712+00:00,Trying a new workout routine this week,,,,,synthetic
organic_012,2026-03-01T20:08:13.059904+00:00,Trying a new workout routine this week,,,,,synthetic
organic_008,2026-03-01T20:17:07.295579+00:00,Great discussion at today's meetup,,,,,synthetic
organic_020,2026-03-01T20:35:59.254411+00:00,Congratulations to the team!,,goals,,,synthetic
organic_004,2026-03-01T20:37:44.792153+00:00,Looking forward to vacation next month,,,,,synthetic
organic_008,2026-03-01T20:43:33.448862+00:00,Traffic is terrible today,,,,,synthetic
organic_003,2026-03-01T20:44:10.892001+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_020,2026-03-01T21:19:54.379552+00:00,This weather is perfect for a hike,,,,,synthetic
organic_004,2026-03-01T21:23:09.750359+00:00,Looking forward to vacation next month,,,,,synthetic
coord_g0_03,2026-03-01T21:37:32.844925+00:00,The mainstream media won't cover this story,,"climatetruth,wakeup",,,synthetic
coord_g1_01,2026-03-01T21:40:21.431854+00:00,Can't believe more people aren't talking about this,,,,,synthetic
organic_013,2026-03-01T21:57:01.381604+00:00,Monday mood: need more coffee,,goals,,,synthetic
organic_006,2026-03-01T21:57:37.305006+00:00,Beautiful sunset today,,,,,synthetic
organic_018,2026-03-01T22:20:11.378574+00:00,Trying a new workout routine this week,,,,,synthetic
organic_004,2026-03-01T22:30:37.316857+00:00,Monday mood: need more coffee,,,,,synthetic
organic_018,2026-03-01T23:01:03.492534+00:00,Great discussion at today's meetup,,,,,synthetic
organic_009,2026-03-01T23:03:24.283864+00:00,Great discussion at today's meetup,,,,,synthetic
organic_005,2026-03-01T23:21:41.596450+00:00,Trying a new workout routine this week,,,,,synthetic
coord_g0_02,2026-03-01T23:26:37.846418+00:00,Something big is about to happen stay alert,,,,,synthetic
organic_017,2026-03-01T23:41:33.602174+00:00,This recipe turned out amazing,,,,,synthetic
organic_005,2026-03-01T23:42:50.752033+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g1_01,2026-03-02T00:02:46.649918+00:00,This is really important please share widely,,,,,synthetic
organic_017,2026-03-02T00:04:33.677932+00:00,Monday mood: need more coffee,,,,,synthetic
